,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Buy,Sell
228,2023-06-08 08:00:00,1842.0,1842.9,1840.65,1840.95,5747.4489,2023-06-08 08:59:59.999,10583914.268739,11114,2249.3012,4141899.593871,0,False,False
229,2023-06-08 09:00:00,1840.95,1841.44,1838.28,1839.39,5346.4804,2023-06-08 09:59:59.999,9835608.437062,12390,2195.7261,4039295.055736,0,False,False
230,2023-06-08 10:00:00,1839.38,1844.85,1838.19,1844.77,5408.3256,2023-06-08 10:59:59.999,9959864.740996,12896,3022.2131,5565101.029705,0,False,False
231,2023-06-08 11:00:00,1844.76,1848.99,1842.86,1843.8,8572.3879,2023-06-08 11:59:59.999,15816182.302508,14975,3526.2367,6506415.343585,0,False,False
232,2023-06-08 12:00:00,1843.79,1856.28,1840.92,1845.82,18865.4569,2023-06-08 12:59:59.999,34856204.499308,25125,8902.8122,16446352.006584,0,False,False
233,2023-06-08 13:00:00,1845.82,1850.4,1837.86,1846.56,15413.1733,2023-06-08 13:59:59.999,28422958.087108,25710,7367.2765,13585609.416544,0,False,False
234,2023-06-08 14:00:00,1846.56,1861.28,1844.0,1857.36,19860.6184,2023-06-08 14:59:59.999,36822832.778894,27112,10870.7167,20152717.539941,0,False,False
235,2023-06-08 15:00:00,1857.35,1861.16,1853.47,1855.66,8929.966,2023-06-08 15:59:59.999,16575909.35419,18380,4299.4598,7980616.550756,0,False,False
236,2023-06-08 16:00:00,1855.67,1856.24,1841.35,1845.74,11573.682,2023-06-08 16:59:59.999,21389796.420317,17723,4481.3008,8281083.717495,0,False,False
237,2023-06-08 17:00:00,1845.75,1846.84,1841.86,1843.7,6230.4483,2023-06-08 17:59:59.999,11494419.544145,11718,2779.6682,5127622.314806,0,False,False
238,2023-06-08 18:00:00,1843.71,1849.6,1842.15,1846.23,4139.1829,2023-06-08 18:59:59.999,7637190.902175,9857,2041.8838,3766781.656319,0,False,False
239,2023-06-08 19:00:00,1846.22,1847.98,1844.69,1847.73,3983.9246,2023-06-08 19:59:59.999,7355967.048948,8295,2091.7173,3862148.407482,0,False,False
240,2023-06-08 20:00:00,1847.73,1853.37,1846.58,1852.72,5569.2081,2023-06-08 20:59:59.999,10306028.097232,10253,2640.8995,4886223.956292,0,False,False
241,2023-06-08 21:00:00,1852.71,1854.0,1849.91,1851.83,3884.4927,2023-06-08 21:59:59.999,7192201.265668,8430,1844.2353,3414125.089824,0,False,False
242,2023-06-08 22:00:00,1851.83,1852.69,1847.09,1849.47,5585.6312,2023-06-08 22:59:59.999,10338056.330129,9159,2358.7331,4365725.147432,0,True,False
243,2023-06-08 23:00:00,1849.46,1849.71,1844.92,1845.64,3436.268,2023-06-08 23:59:59.999,6349574.826292,8009,1846.3268,3412305.123825,0,True,False
244,2023-06-09 00:00:00,1845.65,1846.87,1843.0,1843.79,3931.5091,2023-06-09 00:59:59.999,7253660.65351,9515,1570.4604,2897608.810027,0,True,False
245,2023-06-09 01:00:00,1843.8,1849.02,1842.5,1842.81,6365.3702,2023-06-09 01:59:59.999,11748472.236198,10962,2414.3357,4455733.464996,0,False,False
246,2023-06-09 02:00:00,1842.8,1844.34,1827.0,1835.75,26334.7711,2023-06-09 02:59:59.999,48305401.772799,29642,11761.1697,21573902.914639,0,False,True
247,2023-06-09 03:00:00,1835.75,1838.64,1832.05,1838.23,7337.8644,2023-06-09 03:59:59.999,13466877.082325,13217,3462.3554,6354395.202175,0,False,True
248,2023-06-09 04:00:00,1838.22,1841.31,1836.44,1838.07,4433.4445,2023-06-09 04:59:59.999,8150994.880248,9921,2103.6886,3867399.696367,0,False,True
249,2023-06-09 05:00:00,1838.06,1839.73,1837.0,1839.45,4413.061,2023-06-09 05:59:59.999,8112226.815962,9212,2277.0366,4185748.438893,0,False,True
250,2023-06-09 06:00:00,1839.45,1842.0,1837.09,1837.78,5121.8576,2023-06-09 06:59:59.999,9420727.587354,10632,2010.8722,3698938.204784,0,False,True
251,2023-06-09 07:00:00,1837.79,1837.79,1831.25,1836.37,9593.2918,2023-06-09 07:59:59.999,17600326.927285,19888,4259.93,7815256.866489,0,False,True
252,2023-06-09 08:00:00,1836.37,1842.98,1834.52,1842.41,9118.7541,2023-06-09 08:59:59.999,16767369.258698,15324,4518.8901,8308967.692704,0,False,True
253,2023-06-09 09:00:00,1842.4,1847.42,1841.17,1844.27,7073.7314,2023-06-09 09:59:59.999,13042254.639502,14864,3353.2497,6182805.699355,0,False,True
254,2023-06-09 10:00:00,1844.27,1845.66,1842.5,1844.08,6199.271,2023-06-09 10:59:59.999,11431233.737004,12627,2606.883,4807101.237237,0,False,False
255,2023-06-09 11:00:00,1844.08,1845.02,1840.11,1843.79,6836.4835,2023-06-09 11:59:59.999,12599872.068239,13761,2973.5758,5480297.834189,0,False,False
256,2023-06-09 12:00:00,1843.79,1854.41,1843.79,1851.83,13230.017,2023-06-09 12:59:59.999,24451464.766017,20324,6718.8707,12418033.633785,0,False,False
257,2023-06-09 13:00:00,1851.84,1855.0,1847.4,1847.4,13396.3928,2023-06-09 13:59:59.999,24806770.258785,21025,6231.1617,11537796.287127,0,False,False
258,2023-06-09 14:00:00,1847.4,1851.83,1842.5,1844.68,10989.9761,2023-06-09 14:59:59.999,20298169.440145,19680,5459.9445,10081800.381773,0,False,False
259,2023-06-09 15:00:00,1844.68,1852.03,1839.75,1841.71,12080.0306,2023-06-09 15:59:59.999,22305632.687581,21029,5469.7367,10100808.400295,0,False,False
260,2023-06-09 16:00:00,1841.71,1843.45,1838.48,1840.51,7196.8427,2023-06-09 16:59:59.999,13248525.163384,13648,3730.342,6866814.220819,0,False,False
261,2023-06-09 17:00:00,1840.51,1842.6,1837.17,1841.47,6177.6333,2023-06-09 17:59:59.999,11369345.940433,11767,3035.9251,5586280.525322,0,False,False
262,2023-06-09 18:00:00,1841.47,1842.6,1836.27,1838.06,5648.062,2023-06-09 18:59:59.999,10389514.485606,11677,2830.3032,5205591.373524,0,False,True
263,2023-06-09 19:00:00,1838.07,1840.35,1830.37,1830.86,11345.8235,2023-06-09 19:59:59.999,20806713.523057,20367,5438.2988,9974681.01805,0,False,True
264,2023-06-09 20:00:00,1830.86,1837.11,1828.03,1837.1,7335.9075,2023-06-09 20:59:59.999,13446708.33737,16177,3435.8343,6297983.858979,0,False,True
265,2023-06-09 21:00:00,1837.1,1839.83,1834.17,1836.87,6418.9359,2023-06-09 21:59:59.999,11786046.069973,11439,3521.8708,6465534.503479,0,False,True
266,2023-06-09 22:00:00,1836.86,1838.49,1835.17,1838.48,4554.0506,2023-06-09 22:59:59.999,8363608.98525,9393,2186.3024,4015327.708979,0,False,True
267,2023-06-09 23:00:00,1838.48,1841.15,1836.31,1840.37,3191.2435,2023-06-09 23:59:59.999,5865862.426162,8532,1470.2509,2702586.342327,0,False,True
268,2023-06-10 00:00:00,1840.37,1840.45,1836.3,1837.29,5975.6968,2023-06-10 00:59:59.999,10986767.152781,17202,2055.9584,3780141.367263,0,False,True
269,2023-06-10 01:00:00,1837.28,1844.99,1828.33,1835.7,14853.5656,2023-06-10 01:59:59.999,27299940.498721,24307,6080.8086,11174680.241901,0,False,True
270,2023-06-10 02:00:00,1835.71,1839.27,1825.48,1829.5,15859.2076,2023-06-10 02:59:59.999,29049100.68514,23323,7429.1804,13608049.440814,0,False,True
271,2023-06-10 03:00:00,1829.5,1831.33,1822.13,1827.17,13951.7601,2023-06-10 03:59:59.999,25499879.13346,21149,6541.8261,11954313.830356,0,False,True
272,2023-06-10 04:00:00,1827.17,1829.84,1781.32,1788.2,85590.6259,2023-06-10 04:59:59.999,154138826.463104,110103,36679.4076,66058401.631243,0,False,True
273,2023-06-10 05:00:00,1788.19,1790.73,1744.44,1751.19,92712.2993,2023-06-10 05:59:59.999,163871193.394048,108769,38687.0386,68401518.65027,0,False,True
274,2023-06-10 06:00:00,1751.19,1760.99,1734.68,1744.11,64728.3872,2023-06-10 06:59:59.999,113258816.79801,70084,25955.2282,45411337.722398,0,False,True
275,2023-06-10 07:00:00,1744.12,1745.29,1724.43,1731.78,67200.6551,2023-06-10 07:59:59.999,116739237.765748,72478,33209.1778,57678677.749996,0,False,True
276,2023-06-10 08:00:00,1731.79,1743.16,1715.03,1740.25,59652.8463,2023-06-10 08:59:59.999,103233204.999432,63488,28278.394,48934750.760587,0,False,True
277,2023-06-10 09:00:00,1740.25,1740.8,1732.56,1738.96,16813.3114,2023-06-10 09:59:59.999,29210564.305856,28068,7813.0473,13572439.497031,0,False,True
278,2023-06-10 10:00:00,1738.95,1744.0,1735.09,1743.82,12676.2452,2023-06-10 10:59:59.999,22055509.835354,24753,6188.4426,10769188.372524,0,False,True
279,2023-06-10 11:00:00,1743.83,1749.56,1740.04,1747.95,12314.0302,2023-06-10 11:59:59.999,21477100.62499,24189,5828.6221,10166601.95336,0,False,True
